City,Property Type,Bedrooms,Bathrooms,Square Footage,Address,Zip code,Price
Toronto,apartment,1,1,1050,"2901 St Clair Avenue East  - Toronto , ON",M4B 2J0,$2250
Toronto,apartment,0,1,519,"130 Rosedale Valley Road  - Toronto , ON",M4W 2H2,$1995
Toronto,apartment,2,1,235,"36 Castle Frank Road  - Toronto , ON",M4W 1J4,$3450
Toronto,apartment,1,1,630,"81 Isabella Street  - Toronto , ON",M4Y 1N9,$2150
Toronto,apartment,0,1,1875,"56 Maitland Street  - Toronto , ON",M4Y 2C5,$1860
Toronto,apartment,1,1,514,"263/273/283 Pharmacy Avenue  - Toronto , ON",M1R 4B7,$2250 - $2300
Toronto,town-house,3,2,2226,"1145 Ossington Ave  - Toronto , ON",M6G 2C3,$4400 - $5000
Toronto,multi-unit,1,1,958,"30 Soudan Ave  - Toronto , ON",M4S 2B2,$5555
Toronto,apartment,1,1,600,"122 Dowling Avenue  - Toronto , ON",M6R 1A6,$2280
Toronto,apartment,0-1,1,535,"33 Holly St.  - Toronto , ON",M4P 1A2,$1850 - $2375
Toronto,apartment,0-2,1,885,"44 Dunfield Ave.  - Toronto , ON",M4P 2Y1,$1800 - $2775
Toronto,apartment,2,1,600,"245 Howland Avenue  - Toronto , ON",M5R 3B6,$2999
Toronto,town-house,3,2.5,775,"87 Balliol Street  - Toronto , ON",M4S 3C4,$4300
Toronto,apartment,1,1,510,"1000 Mount Pleasant Road  - Toronto , ON",M4P 2M5,$2445
Toronto,apartment,1,1,550,"110 Erskine Avenue  - Toronto , ON",M4P 1Y5,$2515
Toronto,apartment,0-1,1,5100,"140 Erskine Avenue  - Toronto , ON",M4P 2L8,$2075 - $2435
Toronto,apartment,1,1,635,"8 Newholm Road  - Toronto , ON",M8Y 1T3,$2250
Toronto,apartment,1-2,1,835,"69 Old Mill Terrace  - Toronto , ON",M8X 1A5,$2450 - $3000
Toronto,apartment,1,1,664,"787 Vaughan Rd  - Toronto , ON",M6E 3S5,$2100
Toronto,apartment,2,1,491,"223 Woodbine Ave  - Toronto , ON",M4L 1P3,$2400
Toronto,apartment,1,1,571,"81 Wellesley Street East  - Toronto , ON",M4Y 1H2,$2700
Toronto,apartment,1,1,675,"400 Adelaide Street East  - Toronto , ON",M5A 1N7,$2500
Toronto,apartment,0-2,1,656,"111 Davisville Avenue  - Toronto , ON",M4S 1C2,$1935 - $3005
Toronto,apartment,0-1,1,925,"33 Davisville Avenue  - Toronto , ON",M4S 2Y9,$1935 - $2380
Toronto,apartment,0-2,1,749,"77 Huntley Street  - Toronto , ON",M4W 3J6,$1970 - $2950
Toronto,apartment,0-1,1,654,"177 Jameson Avenue  - Toronto , ON",M6K 1M4,$1925 - $2545
Toronto,apartment,1-2,1,740,"150 Roehampton Avenue  - Toronto , ON",M4P 2C9,$2620 - $3172
Toronto,apartment,1-2.5,1,830,"61 Yorkville Avenue  - Toronto , ON",M5R 1C1,$3132 - $11737
Toronto,house,4.5,2,976,"30 Gwynne Avenue  - Toronto , ON",M6K 2E2,$5100
Toronto,apartment,0-3,2,443,"897 College Street  - Toronto , ON",M6H 1A6,$2445 - $5740
Toronto,apartment,0-1,1,443,"100 Gloucester St and 105 Isabella St, Toronto, ON  - Toronto , ON",Postal code not found,$2129 - $2429
Toronto,apartment,1-2,1,1333,"295 Dufferin Street  - Toronto , ON",M6K 1G4,$2370 - $2789
Toronto,apartment,1,1,257,"55 Triller Avenue  - Toronto , ON",M6R 1B2,$2219
Etobicoke,apartment,1,1,620,"2495 Lake Shore Boulevard, West  - Etobicoke , ON",M8V 1C5,$2249
Etobicoke,apartment,0-1,1,546,"26 Albert Avenue  - Etobicoke , ON",M8V 1M9,$1957 - $2299
Toronto,apartment,1,1,602,"24 Tyndall Avenue  - Toronto , ON",M6K 2E2,$2284
Toronto,apartment,0-1,1,903,"99 Dowling Avenue  - Toronto , ON",M6K 1C2,$1818 - $2204
Toronto,apartment,0-2,1,480,"150 Dowling Avenue  - Toronto , ON",M6R 1A6,$1865 - $2683
East York,apartment,1,1,803,"1501 Woodbine Avenue  - East York , ON",M4C 2Z1,$2399
Toronto,apartment,1,1,709,"80 Wellesley Street, East  - Toronto , ON",M4Y 1H2,$2531 - $2799
Toronto,apartment,1-2,1,870,"15 Dundonald Street  - Toronto , ON",M4Y 2C7,$2326 - $3210
Toronto,apartment,2,1,1300,"837 Roselawn Avenue  - Toronto , ON",M6E 3B5,$2799
Toronto,apartment,0-2,1,500,"141 Davisville Avenue  - Toronto , ON",M4S 1C2,$1945 - $2960
Toronto,apartment,0,1,1410,"229 Carlton Street  - Toronto , ON",M5A 2L2,$1400
